match_teams,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Crystal_Palace_Manchester_Utd,Marcus Rashford,ENG,24,75.0,0,0,0,0,0,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.2,5.0,0.0,23.0,24.0,95.8,2.0,15.0,2.0,3.0,1.0,245.0,20.0,16.0,16.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,0.2,3.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,7.0,28.0,33.3,2.0,66.7,89.0,42.0,2.0,1.0,1.0,2.0,28.0,11.0,0,0,2,3,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2021-2022,FW,None,None,None,0.8333333333333334,Crystal_Palace_Manchester_Utd_2021,0.5,2.1,1.0,1.0,2023-01-18,Robert Jones,Selhurst Park,Wed,20:00,"23,343",207,draw,draw,28.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.24,6.0,0.0,27.599999999999998,28.799999999999997,114.96,2.4,18.0,2.4,3.5999999999999996,1.2,294.0,24.0,19.2,19.2,120.0,6.0,7.199999999999999,99.96,0.0,0.0,0.0,0.24,3.5999999999999996,0.0,2.4,0.0,28.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,32.4,8.4,33.6,39.959999999999994,2.4,80.04,106.8,50.4,2.4,1.2,1.2,2.4,33.6,13.2,0.0,0.0,2.4,3.5999999999999996,0.0,0.0,0.0,1.2,0.0,1.2,0.0,1.0,0.6,2.52,1.2,1.2,248.39999999999998
Crystal_Palace_Manchester_Utd,Marcus Rashford,ENG,24,75.0,0,0,0,0,0,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.2,5.0,0.0,23.0,24.0,95.8,2.0,15.0,2.0,3.0,1.0,245.0,20.0,16.0,16.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,0.2,3.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,7.0,28.0,33.3,2.0,66.7,89.0,42.0,2.0,1.0,1.0,2.0,28.0,11.0,0,0,2,3,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2021-2022,FW,None,None,None,0.8333333333333334,Crystal_Palace_Manchester_Utd_2021,2.0,1.3,2.0,1.0,2023-02-04,Andre Marriner,Old Trafford,Sat,15:00,"73,420",225,Manchester Utd,Crystal Palace,28.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.24,6.0,0.0,27.599999999999998,28.799999999999997,114.96,2.4,18.0,2.4,3.5999999999999996,1.2,294.0,24.0,19.2,19.2,120.0,6.0,7.199999999999999,99.96,0.0,0.0,0.0,0.24,3.5999999999999996,0.0,2.4,0.0,28.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,32.4,8.4,33.6,39.959999999999994,2.4,80.04,106.8,50.4,2.4,1.2,1.2,2.4,33.6,13.2,0.0,0.0,2.4,3.5999999999999996,0.0,0.0,0.0,1.2,0.0,1.2,0.0,1.0,2.4,1.56,2.4,1.2,270.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,2.8,0.4,4.0,0.0,2017-09-30,Mike Dean,Old Trafford,Sat,15:00,"75,118",69,Manchester Utd,Crystal Palace,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,16.8,2.4000000000000004,24.0,0.0,414.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,0.6,1.2,2.0,3.0,2018-03-05,Niel Swarbrick,Selhurst Park,Mon,20:00,"25,840",318,Manchester Utd,Crystal Palace,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,3.6,7.2,12.0,18.0,1908.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,0.9,1.2,0.0,0.0,2018-11-24,Lee Mason,Old Trafford,Sat,15:00,"74,516",132,draw,draw,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,5.4,7.2,0.0,0.0,792.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,1.7,1.0,1.0,3.0,2019-02-27,Martin Atkinson,Selhurst Park,Wed,20:00,"25,754",303,Manchester Utd,Crystal Palace,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,10.200000000000001,6.0,6.0,18.0,1818.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,2.5,1.1,1.0,2.0,2019-08-24,Paul Tierney,Old Trafford,Sat,15:00,"73,454",25,Crystal Palace,Manchester Utd,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,15.0,6.6000000000000005,6.0,12.0,150.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,0.6,2.2,0.0,2.0,2020-07-16,Graham Scott,Selhurst Park,Thu,20:15,0,394,Manchester Utd,Crystal Palace,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,3.6,13.200000000000001,0.0,12.0,2364.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,1.2,1.6,1.0,3.0,2020-09-19,Martin Atkinson,Old Trafford,Sat,17:30,0,11,Crystal Palace,Manchester Utd,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,7.2,9.600000000000001,6.0,18.0,66.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,0.9,0.9,0.0,0.0,2021-03-03,Andre Marriner,Selhurst Park,Wed,20:15,0,298,draw,draw,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,5.4,5.4,0.0,0.0,1788.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,0.9,0.5,1.0,0.0,2021-12-05,Craig Pawson,Old Trafford,Sun,14:00,"73,172",160,Manchester Utd,Crystal Palace,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,5.4,3.0,6.0,0.0,960.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,0.6,0.7,1.0,0.0,2022-05-22,Martin Atkinson,Selhurst Park,Sun,16:00,"25,434",440,Crystal Palace,Manchester Utd,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,3.6,4.2,6.0,0.0,2640.0
Crystal_Palace_Manchester_Utd,Anthony Elanga,SWE,19,15.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,1.0,0.0,0.0,54.0,16.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.0,6.0,1.0,0,1,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,None,None,None,0.16666666666666666,Crystal_Palace_Manchester_Utd_2021,0.5,2.1,1.0,1.0,2023-01-18,Robert Jones,Selhurst Park,Wed,20:00,"23,343",207,draw,draw,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,428.40000000000003,0.0,24.0,6.0,0.0,0.0,324.0,96.0,24.0,30.0,480.0,6.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18.0,36.0,0.0,60.0,0.0,0.0,0.0,312.0,66.0,0.0,0.0,6.0,0.0,36.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,600.0,1.0,3.0,12.600000000000001,6.0,6.0,1242.0
