matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,2.0,1.0,0,Mike Dean,0,0,0,0,6415,Newcastle Utd,West Brom,f9cf4a97-cf8e-5185-a0bf-a80829cdfd3a,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,2.0,1.0,6415.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,2.0,3.0,0,Chris Foy,0,0,0,0,6570,Newcastle Utd,West Brom,31b96a22-5395-5ab6-a431-0d6300e3fde0,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,2.0,3.0,6570.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,3.0,1.0,0,Mike Dean,0,0,0,0,7242,West Brom,Newcastle Utd,e541f9de-0621-5550-a1d4-989cdc8a7f25,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,3.0,1.0,7242.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,3.0,3.0,0,Mark Halsey,0,0,0,0,7457,draw,draw,b3375ae0-5279-597c-9bcf-b5d50b1f6a30,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,3.0,3.0,7457.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,2.0,3.0,0,Anthony Taylor,0,0,0,0,7633,West Brom,Newcastle Utd,78aac1b4-833c-5fbb-a585-cf3eba6c2cb6,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,2.0,3.0,7633.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,1.0,3.0,0,Chris Foy,0,0,0,0,7763,Newcastle Utd,West Brom,d64eb294-266e-5dcd-9c9d-d9199119c369,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,1.0,3.0,7763.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,2.0,1.0,0,Chris Foy,0,0,0,0,7931,Newcastle Utd,West Brom,1d79c956-1d1e-59a2-bce2-fdf347e38788,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,2.0,1.0,7931.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,1.0,1.0,0,Mike Jones,0,0,0,0,8178,draw,draw,62f4ee74-b5e3-5de1-ab60-53b98fc099d4,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,1.0,1.0,8178.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,2.0,1.0,0,Phil Dowd,0,0,0,0,8346,Newcastle Utd,West Brom,bf9fc165-6bb7-582f-a9cc-c3ea8a1f7bdf,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,2.0,1.0,8346.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,1.0,0.0,0,Lee Mason,0,0,0,0,8422,West Brom,Newcastle Utd,329e35d6-ca93-5482-8007-93482ab43e69,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,1.0,0.0,8422.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,0.0,2.0,0,Craig Pawson,0,0,0,0,8712,Newcastle Utd,West Brom,4bc68b8c-2174-55be-a798-b87a78b83037,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,0.0,2.0,8712.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,1.0,1.0,0,Chris Foy,0,0,0,0,8956,draw,draw,db09a900-c742-5af9-ada8-34f0ec791ef7,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,1.0,1.0,8956.0
d83eda75-15b3-5288-b3a7-f66ceab2c074,Joelinton,BRA,24,90.0,0,1,0,0,2,1,0,0,43.0,2.0,0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0,1,0,0,0.0,0.0,0,3.0,3.0,6.0,33.3,True,2020-2021,FW,LM,None,None,1.0,Newcastle Utd_West Brom,Newcastle Utd_West Brom_2020,0.0,0.0,1.0,0.0,0,Mike Jones,0,0,0,0,9167,West Brom,Newcastle Utd,4b095cd0-6313-5510-aa74-e066e30e9bd6,24.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,2.0,0.0,1.0,0.1,0.1,0.3,3.0,1.0,23.0,27.0,85.2,2.0,15.0,1.0,3.0,1.0,314.0,29.0,11.0,13.0,84.6,7.0,9.0,77.8,1.0,1.0,100.0,0.1,1.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,23.0,13.0,3.0,43.0,33.3,2.0,66.7,62.0,16.0,0.0,0.0,4.0,2.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,33.3,1.0,0.0,0.0,1.0,0.0,9167.0
